open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
128.0,135.99,127.66,134.8,48414500.0,300308.SZ,20230801,中际旭创,NA,CNY
134.0,135.99,130.52,133.8,26423400.0,300308.SZ,20230802,中际旭创,NA,CNY
130.38,135.49,128.33,130.51,30156900.0,300308.SZ,20230803,中际旭创,NA,CNY
130.03,141.03,129.51,139.95,45822900.0,300308.SZ,20230804,中际旭创,NA,CNY
141.0,146.66,138.88,141.75,41393000.0,300308.SZ,20230807,中际旭创,NA,CNY
141.75,144.43,134.5,134.51,30327600.0,300308.SZ,20230808,中际旭创,NA,CNY
134.18,136.15,126.61,126.84,41735200.0,300308.SZ,20230809,中际旭创,NA,CNY
124.06,127.19,122.01,124.01,31411600.0,300308.SZ,20230810,中际旭创,NA,CNY
125.43,127.14,121.98,121.98,20952800.0,300308.SZ,20230811,中际旭创,NA,CNY
122.7,123.52,120.31,123.52,29986200.0,300308.SZ,20230814,中际旭创,NA,CNY
129.0,129.88,121.01,121.9,42534700.0,300308.SZ,20230815,中际旭创,NA,CNY
120.02,123.3,118.11,121.01,31383100.0,300308.SZ,20230816,中际旭创,NA,CNY
118.8,124.2,117.18,122.25,32016400.0,300308.SZ,20230817,中际旭创,NA,CNY
121.5,122.5,115.51,115.51,31517400.0,300308.SZ,20230818,中际旭创,NA,CNY
116.33,120.55,115.3,117.87,25505200.0,300308.SZ,20230821,中际旭创,NA,CNY
122.1,126.55,118.15,126.0,46500600.0,300308.SZ,20230822,中际旭创,NA,CNY
123.48,123.49,118.1,119.0,28635700.0,300308.SZ,20230823,中际旭创,NA,CNY
124.0,126.0,119.33,121.0,40958400.0,300308.SZ,20230824,中际旭创,NA,CNY
113.33,115.14,106.01,106.95,58082000.0,300308.SZ,20230825,中际旭创,NA,CNY
114.0,116.06,110.1,111.5,48768900.0,300308.SZ,20230828,中际旭创,NA,CNY
113.0,121.0,109.53,115.19,43949000.0,300308.SZ,20230829,中际旭创,NA,CNY
116.1,119.59,113.38,116.0,31384200.0,300308.SZ,20230830,中际旭创,NA,CNY
114.0,116.34,113.75,114.62,19311000.0,300308.SZ,20230831,中际旭创,NA,CNY
113.9,115.29,110.85,112.15,20995800.0,300308.SZ,20230901,中际旭创,NA,CNY
112.96,113.48,110.75,112.35,16571800.0,300308.SZ,20230904,中际旭创,NA,CNY
111.9,111.9,108.12,109.01,21438300.0,300308.SZ,20230905,中际旭创,NA,CNY
109.12,110.95,106.8,109.7,19848000.0,300308.SZ,20230906,中际旭创,NA,CNY
109.1,110.75,106.11,106.31,23929500.0,300308.SZ,20230907,中际旭创,NA,CNY
103.57,107.2,102.0,105.25,28788500.0,300308.SZ,20230908,中际旭创,NA,CNY
106.25,112.99,104.52,109.2,37972200.0,300308.SZ,20230911,中际旭创,NA,CNY
108.08,111.88,107.55,109.92,24478600.0,300308.SZ,20230912,中际旭创,NA,CNY
109.45,110.9,105.36,106.67,18058900.0,300308.SZ,20230913,中际旭创,NA,CNY
107.17,108.31,102.5,102.65,24630600.0,300308.SZ,20230914,中际旭创,NA,CNY
103.39,104.16,97.41,98.68,36380900.0,300308.SZ,20230915,中际旭创,NA,CNY
99.0,99.59,94.72,95.5,29694600.0,300308.SZ,20230918,中际旭创,NA,CNY
96.4,99.26,93.69,96.5,26524300.0,300308.SZ,20230919,中际旭创,NA,CNY
96.49,100.9,96.0,97.15,27546900.0,300308.SZ,20230920,中际旭创,NA,CNY
96.5,100.32,96.21,97.37,23977600.0,300308.SZ,20230921,中际旭创,NA,CNY
97.97,112.92,97.5,111.08,64761000.0,300308.SZ,20230922,中际旭创,NA,CNY
111.08,111.9,106.8,107.5,41038900.0,300308.SZ,20230925,中际旭创,NA,CNY
109.95,115.77,109.3,111.8,44213300.0,300308.SZ,20230926,中际旭创,NA,CNY
111.25,116.2,111.25,114.07,27608100.0,300308.SZ,20230927,中际旭创,NA,CNY
117.88,119.33,114.02,115.8,30639000.0,300308.SZ,20230928,中际旭创,NA,CNY
115.43,116.98,107.51,111.06,44249300.0,300308.SZ,20231009,中际旭创,NA,CNY
110.37,112.72,107.98,109.45,25541200.0,300308.SZ,20231010,中际旭创,NA,CNY
110.55,113.77,107.66,109.73,25465500.0,300308.SZ,20231011,中际旭创,NA,CNY
111.0,111.42,105.63,106.67,21826500.0,300308.SZ,20231012,中际旭创,NA,CNY
105.8,106.37,100.9,102.37,29490500.0,300308.SZ,20231013,中际旭创,NA,CNY
101.35,102.78,99.38,100.01,22284000.0,300308.SZ,20231016,中际旭创,NA,CNY
101.12,103.5,97.88,100.56,23803800.0,300308.SZ,20231017,中际旭创,NA,CNY
96.61,98.11,93.22,97.45,34566300.0,300308.SZ,20231018,中际旭创,NA,CNY
96.77,97.51,94.23,94.64,22135400.0,300308.SZ,20231019,中际旭创,NA,CNY
96.98,97.17,93.76,94.07,25065400.0,300308.SZ,20231020,中际旭创,NA,CNY
97.17,99.16,93.7,96.1,39084900.0,300308.SZ,20231023,中际旭创,NA,CNY
98.2,101.8,94.52,95.8,58002700.0,300308.SZ,20231024,中际旭创,NA,CNY
91.46,95.64,87.8,88.01,57993000.0,300308.SZ,20231025,中际旭创,NA,CNY
88.66,90.75,87.61,89.9,34997200.0,300308.SZ,20231026,中际旭创,NA,CNY
89.01,90.28,87.42,89.41,27273000.0,300308.SZ,20231027,中际旭创,NA,CNY
89.37,90.8,87.5,89.82,27303200.0,300308.SZ,20231030,中际旭创,NA,CNY
90.2,90.61,85.91,87.75,27760200.0,300308.SZ,20231031,中际旭创,NA,CNY
87.2,88.6,85.05,85.22,22698900.0,300308.SZ,20231101,中际旭创,NA,CNY
86.54,89.33,85.9,85.93,27315300.0,300308.SZ,20231102,中际旭创,NA,CNY
86.5,91.16,86.5,88.65,38320900.0,300308.SZ,20231103,中际旭创,NA,CNY
90.44,91.91,89.0,91.42,37425500.0,300308.SZ,20231106,中际旭创,NA,CNY
90.89,104.0,90.28,99.2,56386500.0,300308.SZ,20231107,中际旭创,NA,CNY
97.1,98.57,95.71,96.65,35627500.0,300308.SZ,20231108,中际旭创,NA,CNY
99.0,103.17,98.3,100.99,39970000.0,300308.SZ,20231109,中际旭创,NA,CNY
100.5,105.2,100.0,101.54,31322800.0,300308.SZ,20231110,中际旭创,NA,CNY
105.8,108.51,103.8,104.9,37887400.0,300308.SZ,20231113,中际旭创,NA,CNY
104.91,107.64,102.55,105.01,27545400.0,300308.SZ,20231114,中际旭创,NA,CNY
108.0,108.0,100.13,104.0,30809000.0,300308.SZ,20231115,中际旭创,NA,CNY
102.0,103.9,100.01,100.04,23617100.0,300308.SZ,20231116,中际旭创,NA,CNY
100.09,107.0,100.09,105.59,31693200.0,300308.SZ,20231117,中际旭创,NA,CNY
103.65,105.57,100.58,102.35,32604100.0,300308.SZ,20231120,中际旭创,NA,CNY
103.88,107.3,103.09,103.57,29244100.0,300308.SZ,20231121,中际旭创,NA,CNY
102.0,102.5,97.3,97.36,36776400.0,300308.SZ,20231122,中际旭创,NA,CNY
