trade_date,wind_code,open,high,low,close,volume,amt
2026-06-23,300308.SZ,1395.00,1395.00,1300.00,1310.01,29177335,38963677904
2026-06-24,300308.SZ,1313.61,1344.88,1282.15,1312.18,26225743,34437448050
2026-06-25,300308.SZ,1326.00,1345.09,1280.02,1323.40,37609048,49655189338
2026-06-26,300308.SZ,1296.00,1296.94,1235.13,1253.89,35281098,44480805076
2026-06-29,300308.SZ,1239.00,1264.21,1169.49,1220.00,35289911,42631770347
2026-06-30,300308.SZ,1223.01,1295.60,1218.21,1270.00,27678291,34960563603
2026-07-01,300308.SZ,1263.50,1315.57,1208.00,1223.17,27155710,34256250272
2026-07-02,300308.SZ,1160.00,1198.00,1127.40,1143.00,31762024,36721292927
2026-07-03,300308.SZ,1130.00,1188.01,1115.00,1116.00,32861791,37702362949
2026-07-06,300308.SZ,1136.54,1141.00,1060.34,1098.92,31556610,34704124551
2026-07-07,300308.SZ,1098.00,1138.20,1089.00,1121.90,29286443,32709219195
2026-07-08,300308.SZ,1134.80,1179.30,1114.56,1128.35,31732800,36323448241
2026-07-09,300308.SZ,1153.00,1199.99,1117.01,1194.90,35888423,41608727823
2026-07-10,300308.SZ,1210.00,1218.00,1093.98,1093.98,42326242,49028023215
2026-07-13,300308.SZ,1100.01,1148.48,1076.80,1108.00,34452091,38390820848
2026-07-14,300308.SZ,1108.53,1198.66,1098.00,1184.05,40047572,46249945646
2026-07-15,300308.SZ,1190.00,1207.98,1160.00,1169.31,24794635,29281915791
2026-07-16,300308.SZ,1122.22,1163.00,1098.00,1113.00,30663363,34474188926
2026-07-17,300308.SZ,1057.36,1072.00,950.55,979.46,56186085,56485631462
2026-07-20,300308.SZ,1028.43,1057.77,967.68,1004.00,45366520,46094376324
2026-07-21,300308.SZ,1020.01,1136.80,988.82,1136.55,48115735,51302197634
2026-07-22,300308.SZ,1110.00,1138.88,1060.50,1060.80,36798027,40560130634
2026-07-23,300308.SZ,1089.54,1115.00,1060.00,1072.52,27254102,29558225786
2026-06-23,688256.SH,1453.00,1506.00,1394.84,1413.00,13837563,20001635530
2026-06-24,688256.SH,1402.00,1468.88,1378.00,1453.00,14065644,20184662912
2026-06-25,688256.SH,1460.00,1536.25,1436.00,1505.00,15982184,23799059014
2026-06-26,688256.SH,1482.00,1518.98,1415.00,1458.00,12435236,18243658225
2026-06-29,688256.SH,1462.33,1541.94,1420.00,1482.00,15117765,22434932060
2026-06-30,688256.SH,1488.41,1620.00,1488.37,1595.55,16221628,25487017441
2026-07-01,688256.SH,1560.00,1588.97,1470.01,1485.33,12580240,19179504251
2026-07-02,688256.SH,1410.00,1448.66,1348.00,1372.00,14056428,19615355231
2026-07-03,688256.SH,1344.14,1412.00,1340.00,1353.00,10192184,14021878020
2026-07-06,688256.SH,1383.00,1389.86,1291.00,1369.75,10368377,14045400474
2026-07-07,688256.SH,1355.00,1439.98,1346.06,1388.00,11875332,16641769701
2026-07-08,688256.SH,1423.00,1479.31,1400.01,1413.55,11717727,16775188064
2026-07-09,688256.SH,1442.70,1548.00,1393.00,1535.01,16544902,24579250089
2026-07-10,688256.SH,1542.98,1569.97,1400.00,1400.00,13195045,19901970613
2026-07-13,688256.SH,1421.40,1504.96,1363.00,1390.00,16476372,23601713850
2026-07-14,688256.SH,1410.00,1425.98,1315.00,1411.00,13659840,18832581270
2026-07-15,688256.SH,1420.00,1425.00,1334.00,1347.46,9470250,12981052461
2026-07-16,688256.SH,1305.90,1357.77,1261.00,1279.22,13208718,17259534161
2026-07-17,688256.SH,1268.00,1278.00,1156.00,1190.58,16650126,20207709790
2026-07-20,688256.SH,1240.00,1278.53,1167.00,1209.00,16139997,19752324179
2026-07-21,688256.SH,1260.00,1357.46,1208.00,1350.02,17184383,22090557774
2026-07-22,688256.SH,1320.66,1382.80,1285.00,1310.00,13275708,17766965741
2026-07-23,688256.SH,1336.00,1336.00,1233.00,1249.00,10861225,13758460664
